"filename", "language", "JSON with Comments", "JavaScript", "PostCSS", "Markdown", "Astro", "TypeScript", "XML", "JSON", "comment", "blank", "total"
"c:\Users\walga\OneDrive\Escritorio\Optica\OpticaSoftware\src\icons\exit.svg", "XML", 0, 0, 0, 0, 0, 0, 22, 0, 0, 1, 23
"c:\Users\walga\OneDrive\Escritorio\Optica\OpticaSoftware\src\icons\eye.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 3
"c:\Users\walga\OneDrive\Escritorio\Optica\OpticaSoftware\src\icons\filtro.svg", "XML", 0, 0, 0, 0, 0, 0, 11, 0, 0, 1, 12
"c:\Users\walga\OneDrive\Escritorio\Optica\OpticaSoftware\src\icons\glasses.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\walga\OneDrive\Escritorio\Optica\OpticaSoftware\src\icons\google.svg", "XML", 0, 0, 0, 0, 0, 0, 24, 0, 0, 1, 25
"c:\Users\walga\OneDrive\Escritorio\Optica\OpticaSoftware\src\icons\mail.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\walga\OneDrive\Escritorio\Optica\OpticaSoftware\src\icons\map-pin.svg", "XML", 0, 0, 0, 0, 0, 0, 15, 0, 0, 1, 16
"c:\Users\walga\OneDrive\Escritorio\Optica\OpticaSoftware\src\icons\menu.svg", "XML", 0, 0, 0, 0, 0, 0, 13, 0, 0, 1, 14
"c:\Users\walga\OneDrive\Escritorio\Optica\OpticaSoftware\src\icons\palette.svg", "XML", 0, 0, 0, 0, 0, 0, 118, 0, 0, 1, 119
"c:\Users\walga\OneDrive\Escritorio\Optica\OpticaSoftware\src\icons\phone.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\walga\OneDrive\Escritorio\Optica\OpticaSoftware\src\icons\profile.svg", "XML", 0, 0, 0, 0, 0, 0, 14, 0, 0, 1, 15
"c:\Users\walga\OneDrive\Escritorio\Optica\OpticaSoftware\src\icons\salir.svg", "XML", 0, 0, 0, 0, 0, 0, 19, 0, 0, 1, 20
"c:\Users\walga\OneDrive\Escritorio\Optica\OpticaSoftware\src\icons\service.svg", "XML", 0, 0, 0, 0, 0, 0, 16, 0, 0, 1, 17
"c:\Users\walga\OneDrive\Escritorio\Optica\OpticaSoftware\src\icons\square.svg", "XML", 0, 0, 0, 0, 0, 0, 8, 0, 0, 1, 9
"c:\Users\walga\OneDrive\Escritorio\Optica\OpticaSoftware\src\icons\sun.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\walga\OneDrive\Escritorio\Optica\OpticaSoftware\src\icons\users.svg", "XML", 0, 0, 0, 0, 0, 0, 11, 0, 0, 1, 12
"c:\Users\walga\OneDrive\Escritorio\Optica\OpticaSoftware\src\layouts\Layout.astro", "Astro", 0, 0, 0, 0, 48, 0, 0, 0, 0, 3, 51
"c:\Users\walga\OneDrive\Escritorio\Optica\OpticaSoftware\src\layouts\LayoutAdmin.astro", "Astro", 0, 0, 0, 0, 26, 0, 0, 0, 0, 4, 30
"c:\Users\walga\OneDrive\Escritorio\Optica\OpticaSoftware\src\layouts\LayoutInicio.astro", "Astro", 0, 0, 0, 0, 82, 0, 0, 0, 0, 15, 97
"c:\Users\walga\OneDrive\Escritorio\Optica\OpticaSoftware\src\layouts\LayoutLogin.astro", "Astro", 0, 0, 0, 0, 24, 0, 0, 0, 0, 3, 27
"c:\Users\walga\OneDrive\Escritorio\Optica\OpticaSoftware\src\logic\servicioPacientes.ts", "TypeScript", 0, 0, 0, 0, 0, 52, 0, 0, 0, 5, 57
"c:\Users\walga\OneDrive\Escritorio\Optica\OpticaSoftware\src\logic\servicioProductos.ts", "TypeScript", 0, 0, 0, 0, 0, 46, 0, 0, 0, 5, 51
"c:\Users\walga\OneDrive\Escritorio\Optica\OpticaSoftware\src\logic\servicioRoles.ts", "TypeScript", 0, 0, 0, 0, 0, 10, 0, 0, 0, 2, 12
"c:\Users\walga\OneDrive\Escritorio\Optica\OpticaSoftware\src\logic\servicioUsuarios.ts", "TypeScript", 0, 0, 0, 0, 0, 74, 0, 0, 0, 10, 84
"c:\Users\walga\OneDrive\Escritorio\Optica\OpticaSoftware\src\models\clientes.ts", "TypeScript", 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\walga\OneDrive\Escritorio\Optica\OpticaSoftware\src\models\compras.ts", "TypeScript", 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"c:\Users\walga\OneDrive\Escritorio\Optica\OpticaSoftware\src\models\gafas.ts", "TypeScript", 0, 0, 0, 0, 0, 10, 0, 0, 0, 1, 11
"c:\Users\walga\OneDrive\Escritorio\Optica\OpticaSoftware\src\models\pacientes.ts", "TypeScript", 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 10
"c:\Users\walga\OneDrive\Escritorio\Optica\OpticaSoftware\src\models\pacientesDto.ts", "TypeScript", 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
